algorithm,inference,start_position,refine_iters,exec_horizon,checkpoint,metric,mean,std,n_trials,is_best
q3c,dfo,left,5,8,S02_shared_k16_s29,dist,8.21,4.5538,2,
q3c,dfo,top_right,5,1,S02_shared_k16_s29,dist,8.165,3.2173,2,
q3c,dfo,top_right,5,2,S02_shared_k16_s29,dist,2.695,1.0394,2,yes
q3c,dfo,top_right,5,4,S02_shared_k16_s29,dist,24.9567,28.8033,3,
q3c,dfo,top_right,5,8,S02_shared_k16_s29,dist,67.145,47.4115,2,
q3c,dfo,bottom_right,5,1,S02_shared_k16_s29,dist,5.415,1.591,2,yes
q3c,dfo,bottom_right,5,2,S02_shared_k16_s29,dist,6.81,5.1902,2,
q3c,dfo,bottom_right,5,4,S02_shared_k16_s29,dist,11.44,14.3826,2,
q3c,dfo,bottom_right,5,8,S02_shared_k16_s29,dist,12.54,14.3401,2,
q3c,dfo,turned_left,5,1,S02_shared_k16_s29,dist,22.115,9.4257,2,
q3c,dfo,turned_left,5,2,S02_shared_k16_s29,dist,15.53,0.3394,2,yes
q3c,dfo,turned_left,5,4,S02_shared_k16_s29,dist,44.545,41.3021,2,
q3c,dfo,turned_left,5,8,S02_shared_k16_s29,dist,17.145,2.2981,2,
q3c,dfo,turned_right,5,1,S02_shared_k16_s29,dist,8.52,1.3152,2,
q3c,dfo,turned_right,5,2,S02_shared_k16_s29,dist,8.13,2.984,2,
q3c,dfo,turned_right,5,4,S02_shared_k16_s29,dist,4.015,0.8415,2,yes
q3c,dfo,turned_right,5,8,S02_shared_k16_s29,dist,27.2533,23.1525,3,
q3c,dfo,upside_down,5,1,S02_shared_k16_s29,dist,5.415,1.591,2,yes
q3c,dfo,upside_down,5,2,S02_shared_k16_s29,dist,6.81,5.1902,2,
q3c,dfo,upside_down,5,4,S02_shared_k16_s29,dist,11.44,14.3826,2,
q3c,dfo,upside_down,5,8,S02_shared_k16_s29,dist,12.54,14.3401,2,
ibc,dfo,top,5,1,Ibc2c16_c256_imnet|Ibc2c_c256_imnet,dist,13.5683,25.9873,6,
ibc,dfo,top,5,2,Ibc2c16_c256_imnet,dist,25.54,32.386,3,
ibc,dfo,top,5,4,Ibc2c16_c256_imnet,dist,30.89,25.4958,3,
ibc,dfo,top,5,8,Ibc2c16_c256_imnet,dist,41.735,51.6098,4,
ibc,dfo,top,10,1,Ibc2c16_c256_imnet|Ibc2c_c256_imnet,dist,10.5367,13.8187,6,
ibc,dfo,top,10,2,Ibc2c16_c256_imnet,dist,15.11,11.1837,3,
ibc,dfo,top,10,4,Ibc2c16_c256_imnet,dist,6.98,4.2709,2,
ibc,dfo,top,10,8,Ibc2c16_c256_imnet,dist,39.185,48.5429,2,
ibc,dfo,top,25,1,Ibc2c_c256_imnet,dist,4.155,1.591,2,yes
ibc,dfo,bottom,5,1,Ibc2c_c256_imnet,dist,36.0667,32.0965,3,
ibc,dfo,bottom,5,2,Ibc2c16_c256_imnet,dist,43.5,40.8949,3,
ibc,dfo,bottom,5,4,Ibc2c16_c256_imnet,dist,132.885,10.3167,2,
ibc,dfo,bottom,5,8,Ibc2c16_c256_imnet,dist,113.8933,80.4787,3,
ibc,dfo,bottom,10,1,Ibc2c16_c256_imnet|Ibc2c_c256_imnet,dist,20.114,14.9562,5,
ibc,dfo,bottom,10,2,Ibc2c16_c256_imnet,dist,18.335,11.1228,2,
ibc,dfo,bottom,10,4,Ibc2c16_c256_imnet,dist,80.1,1.9658,2,
ibc,dfo,bottom,10,8,Ibc2c16_c256_imnet,dist,129.535,18.2929,2,
ibc,dfo,bottom,25,1,Ibc2c_c256_imnet,dist,8.84,7.9055,2,yes
ibc,dfo,left,5,1,Ibc2c_c256_imnet,dist,8.41,11.7966,3,
ibc,dfo,left,5,2,Ibc2c16_c256_imnet,dist,7.39,1.2869,2,
ibc,dfo,left,5,4,Ibc2c16_c256_imnet,dist,7.5467,2.9013,3,
ibc,dfo,left,5,8,Ibc2c16_c256_imnet,dist,113.1667,91.6309,3,
ibc,dfo,left,10,1,Ibc2c16_c256_imnet|Ibc2c_c256_imnet,dist,43.49,37.9979,4,
ibc,dfo,left,10,2,Ibc2c16_c256_imnet,dist,21.8867,28.0396,3,
ibc,dfo,left,10,4,Ibc2c16_c256_imnet,dist,5.81,3.2772,3,yes
ibc,dfo,left,10,8,Ibc2c16_c256_imnet,dist,14.8733,13.3007,3,
ibc,dfo,left,25,1,Ibc2c_c256_imnet,dist,8.95,4.4548,2,
ibc,dfo,top_right,5,1,Ibc2c_c256_imnet,dist,10.398,14.6461,5,
ibc,dfo,top_right,5,2,Ibc2c16_c256_imnet,dist,5.485,0.0354,2,
ibc,dfo,top_right,5,4,Ibc2c16_c256_imnet,dist,71.58,21.694,2,
ibc,dfo,top_right,5,8,Ibc2c16_c256_imnet,dist,49.245,85.2682,4,
ibc,dfo,top_right,10,1,Ibc2c_c256_imnet,dist,2.985,0.2051,2,yes
ibc,dfo,top_right,25,1,Ibc2c_c256_imnet,dist,30.37,22.8395,2,
ibc,dfo,bottom_right,5,1,Ibc2c_c256_imnet,dist,13.5667,18.2748,3,
ibc,dfo,bottom_right,5,2,Ibc2c16_c256_imnet,dist,73.725,23.78,2,
ibc,dfo,bottom_right,5,4,Ibc2c16_c256_imnet,dist,78.96,24.0558,2,
ibc,dfo,bottom_right,5,8,Ibc2c16_c256_imnet,dist,123.01,45.4245,2,
ibc,dfo,bottom_right,10,1,Ibc2c_c256_imnet,dist,7.75,8.0752,2,yes
ibc,dfo,bottom_right,25,1,Ibc2c_c256_imnet,dist,114.215,0.2616,2,
ibc,dfo,turned_left,5,1,Ibc2c_c256_imnet,dist,49.04,9.8712,2,yes
ibc,dfo,turned_left,5,2,Ibc2c16_c256_imnet,dist,57.115,8.3934,2,
ibc,dfo,turned_left,5,4,Ibc2c16_c256_imnet,dist,118.1967,88.4166,3,
ibc,dfo,turned_left,5,8,Ibc2c16_c256_imnet,dist,97.34,41.295,2,
ibc,dfo,turned_left,10,1,Ibc2c_c256_imnet,dist,49.855,4.2497,2,
ibc,dfo,turned_left,10,2,Ibc2c16_c256_imnet,dist,65.32,11.7804,2,
ibc,dfo,turned_left,10,4,Ibc2c16_c256_imnet,dist,92.0733,9.0402,3,
ibc,dfo,turned_left,10,8,Ibc2c16_c256_imnet,dist,79.025,26.3539,2,
ibc,dfo,turned_left,25,1,Ibc2c_c256_imnet,dist,52.025,5.3669,2,
ibc,dfo,turned_right,5,1,Ibc2c_c256_imnet,dist,47.57,20.8455,2,
ibc,dfo,turned_right,5,2,Ibc2c16_c256_imnet,dist,31.33,9.7869,3,
ibc,dfo,turned_right,5,4,Ibc2c16_c256_imnet,dist,65.77,36.3692,3,
ibc,dfo,turned_right,5,8,Ibc2c16_c256_imnet,dist,74.73,19.9828,2,
ibc,dfo,turned_right,10,1,Ibc2c_c256_imnet,dist,23.7067,19.0025,3,yes
ibc,dfo,turned_right,10,2,Ibc2c16_c256_imnet,dist,24.9933,20.2104,3,
ibc,dfo,turned_right,10,4,Ibc2c16_c256_imnet,dist,24.6375,32.539,4,
ibc,dfo,turned_right,10,8,Ibc2c16_c256_imnet,dist,146.495,59.9697,2,
ibc,dfo,turned_right,25,1,Ibc2c_c256_imnet,dist,30.315,14.3472,2,
ibc,dfo,upside_down,5,1,Ibc2c_c256_imnet,dist,136.58,4.8083,2,
ibc,dfo,upside_down,5,2,Ibc2c16_c256_imnet,dist,112.965,14.7149,2,yes
ibc,dfo,upside_down,5,4,Ibc2c16_c256_imnet,dist,245.21,14.6937,2,
ibc,dfo,upside_down,5,8,Ibc2c16_c256_imnet,dist,191.41,24.5083,2,
