algorithm,inference,start_position,refine_iters,exec_horizon,checkpoint,metric,mean,std,n_trials,is_best
ibc,dfo,right,10,8,Ibc2c16_c256_imnet,cam1,0.0538,0.0221,2,
ibc,dfo,right,25,1,Ibc2c_c256_imnet,cam1,0.4766,0.1164,2,
ibc,dfo,top_right,5,1,Ibc2c_c256_imnet,cam1,0.9264,0.0988,5,
ibc,dfo,top_right,5,2,Ibc2c16_c256_imnet,cam1,0.9705,0.0186,2,yes
ibc,dfo,top_right,5,4,Ibc2c16_c256_imnet,cam1,0.5456,0.0061,2,
ibc,dfo,top_right,5,8,Ibc2c16_c256_imnet,cam1,0.696,0.456,4,
ibc,dfo,top_right,10,1,Ibc2c_c256_imnet,cam1,0.9543,0.0001,2,
ibc,dfo,top_right,25,1,Ibc2c_c256_imnet,cam1,0.9243,0.0446,2,
ibc,dfo,bottom_right,5,1,Ibc2c_c256_imnet,cam1,0.8952,0.1191,3,
ibc,dfo,bottom_right,5,2,Ibc2c16_c256_imnet,cam1,0.5084,0.1959,2,
ibc,dfo,bottom_right,5,4,Ibc2c16_c256_imnet,cam1,0.4539,0.153,2,
ibc,dfo,bottom_right,5,8,Ibc2c16_c256_imnet,cam1,0.3904,0.0469,2,
ibc,dfo,bottom_right,10,1,Ibc2c_c256_imnet,cam1,0.9599,0.0218,2,yes
ibc,dfo,bottom_right,25,1,Ibc2c_c256_imnet,cam1,0.3778,0.0033,2,
ibc,dfo,turned_left,5,1,Ibc2c_c256_imnet,cam1,0.6025,0.1479,2,yes
ibc,dfo,turned_left,5,2,Ibc2c16_c256_imnet,cam1,0.501,0.0467,2,
ibc,dfo,turned_left,5,4,Ibc2c16_c256_imnet,cam1,0.3433,0.2415,3,
ibc,dfo,turned_left,5,8,Ibc2c16_c256_imnet,cam1,0.2425,0.3138,2,
ibc,dfo,turned_left,10,1,Ibc2c_c256_imnet,cam1,0.5922,0.0052,2,
ibc,dfo,turned_left,10,2,Ibc2c16_c256_imnet,cam1,0.537,0.0834,2,
ibc,dfo,turned_left,10,4,Ibc2c16_c256_imnet,cam1,0.3212,0.1509,3,
ibc,dfo,turned_left,10,8,Ibc2c16_c256_imnet,cam1,0.3862,0.0355,2,
ibc,dfo,turned_left,25,1,Ibc2c_c256_imnet,cam1,0.5622,0.0163,2,
ibc,dfo,turned_right,5,1,Ibc2c_c256_imnet,cam1,0.8228,0.1056,2,
ibc,dfo,turned_right,5,2,Ibc2c16_c256_imnet,cam1,0.7037,0.1195,3,
ibc,dfo,turned_right,5,4,Ibc2c16_c256_imnet,cam1,0.3886,0.3195,3,
ibc,dfo,turned_right,5,8,Ibc2c16_c256_imnet,cam1,0.5082,0.1833,2,
ibc,dfo,turned_right,10,1,Ibc2c_c256_imnet,cam1,0.8626,0.0876,3,yes
ibc,dfo,turned_right,10,2,Ibc2c16_c256_imnet,cam1,0.8603,0.101,3,
ibc,dfo,turned_right,10,4,Ibc2c16_c256_imnet,cam1,0.8171,0.2833,4,
ibc,dfo,turned_right,10,8,Ibc2c16_c256_imnet,cam1,0.2348,0.1269,2,
ibc,dfo,turned_right,25,1,Ibc2c_c256_imnet,cam1,0.8605,0.0827,2,
ibc,dfo,upside_down,5,1,Ibc2c_c256_imnet,cam1,0.1773,0.0255,2,
ibc,dfo,upside_down,5,2,Ibc2c16_c256_imnet,cam1,0.2207,0.0687,2,yes
ibc,dfo,upside_down,5,4,Ibc2c16_c256_imnet,cam1,0.011,0.0134,2,
ibc,dfo,upside_down,5,8,Ibc2c16_c256_imnet,cam1,0.019,0.0012,2,
ibc,dfo,upside_down,10,1,Ibc2c_c256_imnet,cam1,0.1859,0.0037,2,
ibc,dfo,upside_down,25,1,Ibc2c_c256_imnet,cam1,0.1812,0.0203,2,
bc,deterministic,top,0,1,BC2c_ch16,cam1,0.9432,0.0273,3,yes
bc,deterministic,top,0,2,BC2c_ch16,cam1,0.9089,0.0627,2,
bc,deterministic,top,0,4,BC2c_ch16,cam1,0.9094,0.043,2,
bc,deterministic,top,0,8,BC2c_ch16,cam1,0.922,0.0201,2,
bc,deterministic,bottom,0,1,BC2c_ch16,cam1,0.8729,0.0785,4,yes
bc,deterministic,bottom,0,2,BC2c_ch16,cam1,0.7143,0.1367,3,
bc,deterministic,bottom,0,4,BC2c_ch16,cam1,0.6932,0.0424,2,
bc,deterministic,bottom,0,8,BC2c_ch16,cam1,0.76,0.0194,2,
bc,deterministic,left,0,1,BC2c_ch16,cam1,0.8435,0.0624,2,yes
bc,deterministic,left,0,2,BC2c_ch16,cam1,0.7742,0.1046,2,
bc,deterministic,left,0,4,BC2c_ch16,cam1,0.7243,0.0536,2,
bc,deterministic,left,0,8,BC2c_ch16,cam1,0.7248,0.0519,2,
bc,deterministic,right,0,1,BC2c_ch16,cam1,0.5553,0.018,2,yes
bc,deterministic,right,0,2,BC2c_ch16,cam1,0.539,0.0048,2,
bc,deterministic,right,0,4,BC2c_ch16,cam1,0.5182,0.0066,2,
bc,deterministic,right,0,8,BC2c_ch16,cam1,0.547,0.0025,2,
bc,deterministic,top_right,0,1,BC2c_ch16,cam1,0.456,0.1212,3,
bc,deterministic,top_right,0,2,BC2c_ch16,cam1,0.4642,0.138,2,
bc,deterministic,top_right,0,4,BC2c_ch16,cam1,0.3596,0.079,2,
bc,deterministic,top_right,0,8,BC2c_ch16,cam1,0.5921,0.0292,2,yes
